property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,active
65332417,3 bed flat to rent,3750,https://www.zoopla.co.uk/to-rent/details/65332417/,"Three Colt Street, Limehouse E14",Alliance London,3,1,9,1,3,0.54,9,0.71,9,0.72,9,0.7,9,1
65334075,1 bed flat to rent,5633,https://www.zoopla.co.uk/to-rent/details/65334075/,"Milford House, 190 Strand, London WC2R",LiFE Residential - Nine Elms Riverside,1,1,16,1,2,0.484,16,0.322,16,0.576,32,0.351,16,1
65334698,1 bed flat to rent,2400,https://www.zoopla.co.uk/to-rent/details/65334698/,"Caledonia Street, Islington, London N1",Hotblack Desiato,1,1,5,1,1,0.5,5,0.32,5,0.71,5,0.52,5,1
65341258,1 bed flat to rent,1650,https://www.zoopla.co.uk/to-rent/details/65341258/,"Alaska Building, Deals Gateway, London SE13",LiFE Residential - Greenwich,1,1,9,1,1,0.49,9,0.36,9,0.47,9,0.65,9,1
65341281,3 bed end terrace house to rent,2400,https://www.zoopla.co.uk/to-rent/details/65341281/,"Chobham Road, London E15",Quicklister,3,1,6,0,0,0.47,6,0.29,6,0.64,6,0.38,6,1
65342976,1 bed flat to rent,3500,https://www.zoopla.co.uk/to-rent/details/65342976/,"L-000512, 10 Electric Boulevard, Battersea SW11",Battersea Power Station Estates Ltd,1,1,7,0,0,0.51,7,0.42,7,0.47,7,0.79,7,1
65346338,2 bed flat to rent,11700,https://www.zoopla.co.uk/to-rent/details/65346338/,"Onslow Gardens, South Kensington SW7",Chestertons - South Kensington,2,1,12,0,1,0.53,12,0.26,12,0.67,12,0.49,12,1
65351325,1 bed terraced house to rent,4070,https://www.zoopla.co.uk/to-rent/details/65351325/,"Gloucester Walk, Kensington W8",Chestertons - Kensington,1,1,5,1,1,0.46,5,0.39,5,0.71,5,0.36,5,1
65352016,3 bed end terrace house to rent,2750,https://www.zoopla.co.uk/to-rent/details/65352016/,"Holly Bush Row, Dermody Road, London SE13",Winkworth - Blackheath,3,1,13,0,2,0.47,13,0.21,13,0.8,13,0.34,13,1
65352705,Room to rent,950,https://www.zoopla.co.uk/to-rent/details/65352705/,"Dorset Avenue, Hayes UB4",Century 21 Heston,1,0,4,0,0,0.49,5,0.61,5,0.58,5,0.67,5,1
65353316,3 bed flat to rent,1950,https://www.zoopla.co.uk/to-rent/details/65353316/,"Sydenham Road, London SE26","Property World, Sydenham",3,1,7,1,4,0.47000000000000003,7,0.1942857142857143,7,0.78,14,0.43,7,1
65353373,3 bed flat to rent,3150,https://www.zoopla.co.uk/to-rent/details/65353373/,"Travers House, Trafalgar Grove, Greenwich SE10",Conran Estates Greenwich,3,1,5,0,0,0.48600000000000004,5,0.454,5,0.691,10,0.362,5,1
65354539,2 bed mews to rent,4500,https://www.zoopla.co.uk/to-rent/details/65354539/,"Charles Lane, St John's Wood NW8",Chestertons - St John's Wood,2,1,8,1,3,0.57,8,0.3,8,0.61,8,0.47,8,1
